"Pancreas"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2023"
"By Race/Ethnicity, Delay-adjusted SEER Incidence Rate, Both Sexes, All Ages, All Stages"

"","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","11.06","10.41","11.75","10.89","13.34","9.49","18.13","11.46","9.68","8.87","10.55","9.68","15.10","14.35","15.88","15.09","11.46","11.24","11.69","11.37"
"2001","10.77","10.14","11.42","10.93","9.53","6.14","13.96","11.56","9.33","8.56","10.15","9.34","15.19","14.44","15.95","15.17","11.46","11.24","11.68","11.50"
"2002","11.18","10.55","11.83","10.97","10.81","7.42","15.13","11.65","9.10","8.37","9.88","9.02","15.58","14.83","16.35","15.25","11.63","11.41","11.86","11.63"
"2003","10.95","10.34","11.58","11.01","11.61","8.11","16.00","11.74","8.69","8.00","9.44","9.11","15.31","14.57","16.07","15.33","11.72","11.50","11.94","11.76"
"2004","10.95","10.36","11.55","11.06","12.60","8.87","17.25","11.83","9.58","8.86","10.33","9.19","15.43","14.70","16.18","15.41","11.88","11.66","12.10","11.90"
"2005","11.22","10.64","11.83","11.10","11.68","8.21","16.03","11.92","9.10","8.42","9.82","9.28","15.87","15.14","16.63","15.49","12.09","11.87","12.31","12.03"
"2006","10.89","10.33","11.48","11.14","12.16","8.53","16.69","12.02","9.43","8.75","10.15","9.37","16.05","15.31","16.80","15.57","12.04","11.82","12.26","12.17"
"2007","10.82","10.28","11.39","11.18","13.40","9.75","17.87","12.11","9.38","8.71","10.07","9.46","15.70","14.99","16.44","15.66","12.39","12.17","12.61","12.31"
"2008","11.50","10.95","12.07","11.22","11.03","8.00","14.80","12.21","9.73","9.08","10.42","9.55","15.74","15.04","16.47","15.74","12.64","12.41","12.86","12.45"
