"Pancreas"
"Recent Trends in SEER Age-Adjusted Incidence Rates for Rural/Urban Areas, 2000-2023"
"All Ages By Rural/Urban Area, Both Sexes, All Races / Ethnicities"

"","Rural Areas","Rural Areas","Rural Areas","Rural Areas","Urban Areas","Urban Areas","Urban Areas","Urban Areas"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","10.54","10.06","11.04","10.75","11.78","11.57","12.00","11.64"
"2001","10.81","10.32","11.31","10.90","11.73","11.53","11.95","11.74"
"2002","10.85","10.37","11.35","11.04","11.93","11.72","12.14","11.84"
"2003","11.63","11.13","12.14","11.19","11.76","11.56","11.97","11.95"
"2004","11.55","11.06","12.06","11.34","12.03","11.82","12.24","12.05"
"2005","11.21","10.73","11.71","11.49","12.29","12.08","12.50","12.16"
"2006","11.73","11.24","12.24","11.64","12.14","11.93","12.35","12.26"
"2007","11.90","11.41","12.40","11.80","12.36","12.15","12.56","12.37"
"2008","12.08","11.57","12.60","11.95","12.65","12.44","12.85","12.48"
"2009","12.00","11.50","12.53","12.11","12.58","12.38","12.78","12.59"
"2010","11.88","11.38","12.39","12.27","12.73","12.53","12.94","12.70"
"2011","12.38","11.87","12.90","12.44","12.68","12.48","12.88","12.81"
"2012","12.73","12.22","13.26","12.60","12.83","12.63","13.03","12.93"
"2013","12.62","12.11","13.14","12.77","12.89","12.69","13.08","13.04"
"2014","12.74","12.23","13.26","12.94","13.09","12.89","13.28","13.15"
"2015","13.36","12.85","13.89","13.11","13.25","13.06","13.45","13.27"
"2016","13.08","12.57","13.60","13.28","13.36","13.16","13.55","13.39"
"2017","13.71","13.19","14.25","13.46","13.50","13.31","13.69","13.50"
"2018","14.02","13.49","14.56","13.64","13.81","13.62","14.00","13.62"
"2019","14.37","13.84","14.91","13.82","13.92","13.73","14.12","13.74"
"2020","13.37","12.87","13.89","14.01","13.42","13.23","13.61","13.86"
"2021","14.20","13.68","14.74","14.19","14.13","13.94","14.32","13.98"
"2022","13.93","13.41","14.46","14.38","14.06","13.87","14.24","14.11"
"2023","14.29","13.77","14.82","14.57","14.07","13.89","14.26","14.23"


"Data Source:"
"-SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"-Rural and Urban groupings are defined using time-dependent Rural-Urban Continuum Codes [https://seer.cancer.gov/seerstat/variables/countyattribs/ruralurban.html] (RUCC), which distinguish metropolitan (Urban) counties from nonmetropolitan (Rural) counties based on evolving delineations over time."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Wed Sep 23 2026.
